geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B01002,B01002_001,Median age > Total,38.2,0.7,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B01003,B01003_001,Total,53103,34,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B03002,B03002_001,Total,53103,34,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,35705,1045,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10918,845,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2494,521,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B03002,B03002_012,Total > Hispanic or Latino,2964,501,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_001,Total,36664,507,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_015,Total > Male > Bachelor's degree,4955,438,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_016,Total > Male > Master's degree,3662,297,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_017,Total > Male > Professional school degree,1429,224,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_018,Total > Male > Doctorate degree,1040,180,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_032,Total > Female > Bachelor's degree,6322,488,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_033,Total > Female > Master's degree,4248,363,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_034,Total > Female > Professional school degree,1127,181,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,B15002_035,Total > Female > Doctorate degree,879,200,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B19013,B19013_001,Median household income in the past 12 months (in 2009 inflation-adjusted dollars),72435,4665,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25003,B25003_001,Total,22368,443,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25003,B25003_002,Total > Owner occupied,14078,461,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25003,B25003_003,Total > Renter occupied,8290,464,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_001,Total,24394,488,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_002,Total > Built 2005 or later,214,102,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_003,Total > Built 2000 to 2004,344,108,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_004,Total > Built 1990 to 1999,509,129,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_005,Total > Built 1980 to 1989,731,185,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_006,Total > Built 1970 to 1979,1303,258,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_007,Total > Built 1960 to 1969,1843,251,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_008,Total > Built 1950 to 1959,1500,274,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_009,Total > Built 1940 to 1949,1757,283,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,B25034_010,Total > Built 1939 or earlier,16193,510,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25035,B25035_001,Median year structure built,1939,,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25064,B25064_001,Median gross rent,906,28,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25077,B25077_001,Median value (dollars),388800,12229,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",23662,897.4,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2009,2005-2009,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),16193,510,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B01002,B01002_001,Median age > Total,34.7,0.1,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B01003,B01003_001,Total,5257001,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_001,Total,5257001,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2376862,1138,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1329785,1996,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,295102,1363,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_012,Total > Hispanic or Latino,1181767,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_001,Total,3455137,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_015,Total > Male > Bachelor's degree,326029,3593,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_016,Total > Male > Master's degree,137982,2427,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_017,Total > Male > Professional school degree,55346,1628,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_018,Total > Male > Doctorate degree,23735,1052,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_032,Total > Female > Bachelor's degree,358363,4027,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_033,Total > Female > Master's degree,171617,3099,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_034,Total > Female > Professional school degree,39560,1282,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_035,Total > Female > Doctorate degree,18252,996,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B19013,B19013_001,Median household income in the past 12 months (in 2009 inflation-adjusted dollars),53903,302,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_001,Total,1941417,5109,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_002,Total > Owner occupied,1179389,7255,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_003,Total > Renter occupied,762028,5506,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_001,Total,2170750,1639,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_002,Total > Built 2005 or later,36921,1248,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_003,Total > Built 2000 to 2004,90644,2452,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_004,Total > Built 1990 to 1999,123645,1994,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_005,Total > Built 1980 to 1989,149629,2343,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_006,Total > Built 1970 to 1979,268512,3195,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_007,Total > Built 1960 to 1969,286537,3269,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_008,Total > Built 1950 to 1959,344503,3117,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_009,Total > Built 1940 to 1949,191603,2910,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_010,Total > Built 1939 or earlier,678756,4425,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25035,B25035_001,Median year structure built,1956,1,www2.census.gov summary file
