alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
178-N,ALLEY 178-N,00,ALLEYS::178-N::00,Alley 178,N Marion St,PCC,18,10,8,2015-06-01,2015,,100,100,0,80-100,,N,203.0,1,41.9084028,-87.8046043
178,ALLEY 178,00,ALLEYS::178::00,Alley 178N,Le Moyne Pkwy,PCC,16,12,8,2015-06-01,2015,,89,89,0,80-100,,N,489.7,2,41.9077256,-87.8049621
177,ALLEY 177,00,ALLEYS::177::00,Alley 177 N,Le Moyne Pkwy,PCC,16,30,15,2004-06-01,2004,,36,53,17,40-59,,N,491.1,3,41.9077455,-87.8034441
177-N,ALLEY 177-N,00,ALLEYS::177-N::00,N Marion St,Belleforted Ave,PCC,17,15,6,2004-06-01,2004,,92,92,0,80-100,,N,416.1,4,41.9084191,-87.8034674
172-N,ALLEY 172-N,00,ALLEYS::172-N::00,Belleforted Ave,N Forest Ave,PCC,17,10,6,2004-06-01,2004,,93,93,0,80-100,,N,417.4,5,41.908441,-87.8019367
172,ALLEY 172,00,ALLEYS::172::00,Alley 172 N,Le Moyne Pkwy,PCC,16,30,15,2004-06-01,2004,,41,48,7,40-59,,N,488.3,6,41.9077712,-87.8019151
119-N,ALLEY 119-N,00,ALLEYS::119-N::00,N Humphrey Ave,N Austin Blvd,PCC,17,12,6,2014-06-01,2014,,93,93,0,80-100,,N,358.8,7,41.908773,-87.7762354
119,ALLEY 119,00,ALLEYS::119::00,Alley 119 N,Alley 119 S,PCC,16,15,16,1926-06-01,1926,,32,50,18,40-59,,N,290.4,8,41.9083747,-87.7762272
119-S,ALLEY 119-S,00,ALLEYS::119-S::00,N Humphrey Ave,N Austin Blvd,PCC,16,33,16,1900-01-01,1900,,26,46,20,40-59,,N,356.2,9,41.9079763,-87.7762137
118,ALLEY 118,00,ALLEYS::118::00,Alley 118 N,Alley 118 S,PCC,22,12,6,2002-06-01,2002,,85,85,0,80-100,,N,290.8,10,41.9083556,-87.7775312
118-N,ALLEY 118-N,00,ALLEYS::118-N::00,N Taylor Ave,N Humphrey Ave,PCC,22,15,6,2002-06-01,2002,,85,85,0,80-100,,N,355.0,11,41.9087545,-87.7775449
118-S,ALLEY 118-S,00,ALLEYS::118-S::00,N Taylor Ave,N Humphrey Ave,PCC,22,10,6,2002-06-01,2002,,89,89,0,80-100,,N,355.6,12,41.9079568,-87.7775189
117,ALLEY 117,00,ALLEYS::117::00,Alley 117 N,Alley 117 S,PCC,22,30,10,1924-06-01,1924,,38,53,15,40-59,,N,290.3,13,41.9083358,-87.7788344
117-S,ALLEY 117-S,00,ALLEYS::117-S::00,N Hayes Ave,N Taylor Ave,PCC,16,33,16,1900-01-01,1900,,26,44,18,40-59,,N,354.6,14,41.9079376,-87.778823
115,ALLEY 115,00,ALLEYS::115::00,Alley 115 N,Alley 115 S,PCC,22,18,6,2013-06-01,2013,,95,95,0,80-100,,N,289.0,15,41.9082929,-87.78144
115-S,ALLEY 115-S,00,ALLEYS::115-S::00,N Harvey St,N Lombard Ave,PCC,22,15,10,2013-06-01,2013,,92,93,1,80-100,,N,354.4,16,41.9078964,-87.7814292
116-S,ALLEY 116-S,00,ALLEYS::116-S::00,N Lombard Ave,N Hayes Ave,PCC,22,10,6,2003-06-01,2003,,91,91,0,80-100,,N,355.1,17,41.9079182,-87.7801266
116,ALLEY 116,00,ALLEYS::116::00,Alley 116 N,Alley 116 S,PCC,22,10,6,2003-06-01,2003,,85,86,1,80-100,,N,289.2,18,41.9083147,-87.7801384
