pin,year,class,township_code,township_name,nbhd,mailed_bldg,mailed_land,mailed_tot,certified_bldg,certified_land,certified_tot,board_bldg,board_land,board_tot,building_sqft,land_sqft,year_built,units,beds,full_baths,half_baths,cards,residential_type,sqft_source,condo_building_sqft,condo_pct_ownership,condo_est_unit_sqft,is_parking_or_common,prop_address,prop_city,prop_zip,address_year
16051000130000,2025,203,27,Oak Park,27010,33704,8296,42000,33704,8296,42000,33704,8296,42000,1534,5440,1930,1,4,1,1,1,1.5 Story,improvement,,,,,1234 EDMER AVE,OAK PARK,60302,2025
16051000140000,2025,204,27,Oak Park,27010,44704,8296,53000,44704,8296,53000,44704,8296,53000,2341,5440,1926,1,3,2,0,1,1.5 Story,improvement,,,,,1230 EDMER AVE,OAK PARK,60302,2025
16051000150000,2025,204,27,Oak Park,27010,47704,8296,56000,47704,8296,56000,47704,8296,56000,3044,5440,1928,1,5,2,1,1,1.5 Story,improvement,,,,,1226 EDMER AVE,OAK PARK,60302,2025
16051000160000,2025,204,27,Oak Park,27010,42704,8296,51000,42704,8296,51000,42704,8296,51000,1813,5440,1926,1,4,2,1,1,1.5 Story,improvement,,,,,1222 EDMER AVE,OAK PARK,60302,2025
16051000170000,2025,204,27,Oak Park,27010,43710,8235,51945,43710,8235,51945,43710,8235,51945,2191,5400,1926,1,5,2,1,1,1.5 Story,improvement,,,,,1220 EDMER AVE,OAK PARK,60302,2025
16051000180000,2025,204,27,Oak Park,27010,45765,8235,54000,45765,8235,54000,45765,8235,54000,2236,5400,1926,1,4,1,0,1,1.5 Story,improvement,,,,,1216 EDMER AVE,OAK PARK,60302,2025
16051000190000,2025,204,27,Oak Park,27010,39826,8174,48000,39826,8174,48000,39826,8174,48000,1806,5360,1927,1,3,2,0,1,1.5 Story,improvement,,,,,1212 EDMER AVE,OAK PARK,60302,2025
16051000200000,2025,204,27,Oak Park,27010,44826,8174,53000,44826,8174,53000,44826,8174,53000,2228,5360,1927,1,3,1,1,1,1.5 Story,improvement,,,,,1210 EDMER AVE,OAK PARK,60302,2025
16051000210000,2025,204,27,Oak Park,27010,50826,8174,59000,50826,8174,59000,50826,8174,59000,2881,5360,1926,1,4,2,1,1,1.5 Story,improvement,,,,,1206 EDMER AVE,OAK PARK,60302,2025
16051000220000,2025,205,27,Oak Park,27010,44754,8113,52867,44754,8113,52867,44754,8113,52867,2038,5320,1926,1,5,1,1,1,2 Story,improvement,,,,,1204 EDMER AVE,OAK PARK,60302,2025
16051000230000,2025,206,27,Oak Park,27010,60231,8607,68838,60231,8607,68838,56435,8607,65042,3144,5644,1926,1,5,3,1,1,2 Story,improvement,,,,,1200 EDMER AVE,OAK PARK,60302,2025
16051000240000,2025,204,27,Oak Park,27010,53850,9150,63000,53850,9150,63000,53850,9150,63000,2982,6000,1926,1,5,2,1,1,1.5 Story,improvement,,,,,1235 N RIDGELAND AVE,OAK PARK,60302,2025
16051000250000,2025,204,27,Oak Park,27010,41394,9150,50544,41394,9150,50544,41394,9150,50544,2292,6000,1931,1,4,2,1,1,1.5 Story,improvement,,,,,1231 N RIDGELAND AVE,OAK PARK,60302,2025
16051000260000,2025,205,27,Oak Park,27010,47850,9150,57000,47850,9150,57000,47850,9150,57000,2167,6000,1926,1,3,1,1,1,2 Story,improvement,,,,,1227 N RIDGELAND AVE,OAK PARK,60302,2025
16051000270000,2025,206,27,Oak Park,27010,44448,9150,53598,44448,9150,53598,44448,9150,53598,2246,6000,1925,1,5,2,0,1,2 Story,improvement,,,,,1225 N RIDGELAND AVE,OAK PARK,60302,2025
16051000280000,2025,205,27,Oak Park,27010,38850,9150,48000,38850,9150,48000,33108,9150,42258,1490,6000,1927,1,3,1,0,1,2 Story,improvement,,,,,1221 N RIDGELAND AVE,OAK PARK,60302,2025
16051000290000,2025,206,27,Oak Park,27010,54850,9150,64000,54850,9150,64000,50999,9150,60149,2417,6000,1926,1,4,2,0,1,2 Story,improvement,,,,,1217 N RIDGELAND AVE,OAK PARK,60302,2025
16051000300000,2025,205,27,Oak Park,27010,45850,9150,55000,45850,9150,55000,45850,9150,55000,2088,6000,1927,1,4,1,2,1,2 Story,improvement,,,,,1213 N RIDGELAND AVE,OAK PARK,60302,2025
16051000340000,2025,206,27,Oak Park,27010,52546,9708,62254,52546,9708,62254,52546,9708,62254,2444,6366,1928,1,4,2,1,1,2 Story,improvement,,,,,1201 N RIDGELAND AVE,OAK PARK,60302,2025
16051000350000,2025,205,27,Oak Park,27010,47275,13725,61000,47275,13725,61000,47275,13725,61000,2132,9000,1926,1,4,1,1,1,2 Story,improvement,,,,,1211 N RIDGELAND AVE,OAK PARK,60302,2025
16051000360000,2025,206,27,Oak Park,27010,62275,13725,76000,62275,13725,76000,62275,13725,76000,3394,9000,1926,1,4,2,1,1,2 Story,improvement,,,,,1205 N RIDGELAND AVE,OAK PARK,60302,2025
16051000380000,2025,517,27,Oak Park,27010,75354,167096,242450,75354,167096,242450,75354,167096,242450,,,,,,,,,,,,,,,6323 NORTH AVE,OAK PARK,60302,2025
16051000390000,2025,517,27,Oak Park,27010,139942,201096,341038,139942,201096,341038,139942,201096,341038,,,,,,,,,,,,,,,6315 NORTH AVE,OAK PARK,60302,2025
16051010010000,2025,522,27,Oak Park,27030,28875,108000,136875,28875,108000,136875,28875,108000,136875,,,,,,,,,,,,,,,6249 NORTH AVE,OAK PARK,60302,2025
16051010020000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6211 NORTH AVE,OAK PARK,60302,2025
16051010030000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6235 NORTH AVE,OAK PARK,60302,2025
16051010040000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6235 NORTH AVE,OAK PARK,60302,2025
16051010050000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6205 NORTH AVE,OAK PARK,60302,2025
16051010060000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6235 NORTH AVE,OAK PARK,60302,2025
16051010070000,2025,EX,27,Oak Park,27030,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6201 NORTH AVE,OAK PARK,60302,2025
16051010080000,2025,205,27,Oak Park,27030,36500,6500,43000,36500,6500,43000,36500,6500,43000,2052,5000,1955,1,3,1,1,1,2 Story,improvement,,,,,1230 N RIDGELAND AVE,OAK PARK,60302,2025
16051010090000,2025,203,27,Oak Park,27030,28076,6500,34576,28076,6500,34576,28076,6500,34576,1442,5000,1924,1,3,1,1,1,1 Story,improvement,,,,,1228 N RIDGELAND AVE,OAK PARK,60302,2025
16051010100000,2025,204,27,Oak Park,27030,40500,6500,47000,40500,6500,47000,40500,6500,47000,2510,5000,1924,1,5,2,0,1,1.5 Story,improvement,,,,,1224 N RIDGELAND AVE,OAK PARK,60302,2025
16051010110000,2025,203,27,Oak Park,27030,33500,6500,40000,33500,6500,40000,33500,6500,40000,1623,5000,1924,1,3,2,0,1,1 Story,improvement,,,,,1222 N RIDGELAND AVE,OAK PARK,60302,2025
16051010120000,2025,204,27,Oak Park,27030,36500,6500,43000,36500,6500,43000,36500,6500,43000,2110,5000,1924,1,4,2,0,1,1.5 Story,improvement,,,,,1220 N RIDGELAND AVE,OAK PARK,60302,2025
16051010130000,2025,203,27,Oak Park,27030,33500,6500,40000,33500,6500,40000,33500,6500,40000,1676,5000,1924,1,3,1,0,1,1.5 Story,improvement,,,,,1216 N RIDGELAND AVE,OAK PARK,60302,2025
16051010140000,2025,204,27,Oak Park,27030,44502,6500,51002,41472,6500,47972,38211,6500,44711,2313,5000,1924,1,3,2,1,1,1.5 Story,improvement,,,,,1212 N RIDGELAND AVE,OAK PARK,60302,2025
16051010150000,2025,203,27,Oak Park,27030,30500,6500,37000,30500,6500,37000,30500,6500,37000,1461,5000,1924,1,3,1,1,1,1 Story,improvement,,,,,1210 N RIDGELAND AVE,OAK PARK,60302,2025
16051010160000,2025,204,27,Oak Park,27030,38500,6500,45000,38500,6500,45000,38500,6500,45000,1957,5000,1924,1,3,2,1,1,1.5 Story,improvement,,,,,1206 N RIDGELAND AVE,OAK PARK,60302,2025
16051010170000,2025,204,27,Oak Park,27030,35500,6500,42000,35500,6500,42000,35500,6500,42000,1988,5000,1923,1,4,1,0,1,1.5 Story,improvement,,,,,1204 N RIDGELAND AVE,OAK PARK,60302,2025
16051010180000,2025,205,27,Oak Park,27030,45104,6897,52001,45104,6897,52001,45104,6897,52001,1860,5305,1925,1,4,2,0,1,2 Story,improvement,,,,,1200 N RIDGELAND AVE,OAK PARK,60302,2025
16051010190000,2025,204,27,Oak Park,27030,39500,6500,46000,39500,6500,46000,39500,6500,46000,2203,5000,1928,1,4,1,0,1,1.5 Story,improvement,,,,,1231 N HARVEY AVE,OAK PARK,60302,2025
16051010200000,2025,204,27,Oak Park,27030,42500,6500,49000,42500,6500,49000,42500,6500,49000,2269,5000,1925,1,6,2,1,1,1.5 Story,improvement,,,,,1227 N HARVEY AVE,OAK PARK,60302,2025
16051010210000,2025,204,27,Oak Park,27030,42209,6500,48709,42209,6500,48709,42209,6500,48709,2265,5000,1924,1,5,3,0,1,1 Story,improvement,,,,,1225 N HARVEY AVE,OAK PARK,60302,2025
16051010220000,2025,203,27,Oak Park,27030,28500,6500,35000,28500,6500,35000,28500,6500,35000,1131,5000,1924,1,4,1,1,1,1 Story,improvement,,,,,1223 N HARVEY AVE,OAK PARK,60302,2025
16051010230000,2025,204,27,Oak Park,27030,36192,6500,42692,36192,6500,42692,36192,6500,42692,2153,5000,1925,1,4,2,1,1,1.5 Story,improvement,,,,,1221 N HARVEY AVE,OAK PARK,60302,2025
16051010240000,2025,204,27,Oak Park,27030,32964,6500,39464,32964,6500,39464,32964,6500,39464,2010,5000,1925,1,5,2,1,1,1.5 Story,improvement,,,,,1217 N HARVEY AVE,OAK PARK,60302,2025
16051010250000,2025,204,27,Oak Park,27030,36003,6500,42503,36003,6500,42503,36003,6500,42503,2008,5000,1924,1,4,2,1,1,1.5 Story,improvement,,,,,1213 N HARVEY AVE,OAK PARK,60302,2025
16051010260000,2025,203,27,Oak Park,27030,33500,6500,40000,33500,6500,40000,33500,6500,40000,1536,5000,1924,1,3,1,0,1,1.5 Story,improvement,,,,,1211 N HARVEY AVE,OAK PARK,60302,2025
16051010270000,2025,204,27,Oak Park,27030,36500,6500,43000,36500,6500,43000,36500,6500,43000,2019,5000,1924,1,5,1,1,1,1.5 Story,improvement,,,,,1207 N HARVEY AVE,OAK PARK,60302,2025
16051010280000,2025,203,27,Oak Park,27030,30500,6500,37000,30500,6500,37000,30500,6500,37000,1622,5000,1924,1,4,3,1,1,1.5 Story,improvement,,,,,1205 N HARVEY AVE,OAK PARK,60302,2025
16051010290000,2025,205,27,Oak Park,27030,41358,6897,48255,41358,6897,48255,41358,6897,48255,2154,5305,1925,1,4,2,0,1,2 Story,improvement,,,,,1201 N HARVEY AVE,OAK PARK,60302,2025
16051020080000,2025,203,27,Oak Park,27030,25159,5841,31000,25159,5841,31000,25159,5841,31000,1178,4493,1923,1,3,1,0,1,1 Story,improvement,,,,,1230 N HARVEY AVE,OAK PARK,60302,2025
16051020090000,2025,203,27,Oak Park,27030,35989,6011,42000,35989,6011,42000,35989,6011,42000,1795,4624,1923,1,3,2,2,1,1.5 Story,improvement,,,,,1228 N HARVEY AVE,OAK PARK,60302,2025
16051020100000,2025,205,27,Oak Park,27030,34752,6011,40763,34752,6011,40763,34752,6011,40763,1871,4624,1920,1,4,2,1,1,2 Story,improvement,,,,,1226 N HARVEY AVE,OAK PARK,60302,2025
16051020110000,2025,203,27,Oak Park,27030,34863,6011,40874,34863,6011,40874,34863,6011,40874,1689,4624,1925,1,3,2,1,1,1.5 Story,improvement,,,,,1222 N HARVEY AVE,OAK PARK,60302,2025
16051020120000,2025,205,27,Oak Park,27030,32989,6011,39000,32989,6011,39000,32989,6011,39000,1836,4624,1918,1,4,1,1,1,2 Story,improvement,,,,,1220 N HARVEY AVE,OAK PARK,60302,2025
16051020130000,2025,206,27,Oak Park,27030,47310,6011,53321,47310,6011,53321,47310,6011,53321,2389,4624,1923,1,4,2,0,1,2 Story,improvement,,,,,1218 N HARVEY AVE,OAK PARK,60302,2025
16051020140000,2025,204,27,Oak Park,27030,41902,6011,47913,41902,6011,47913,38607,6011,44618,2337,4624,1927,1,3,3,0,1,1.5 Story,improvement,,,,,1214 N HARVEY AVE,OAK PARK,60302,2025
16051020150000,2025,205,27,Oak Park,27030,31054,5946,37000,31054,5946,37000,31054,5946,37000,1298,4574,1918,1,4,1,1,1,2 Story,improvement,,,,,1212 N HARVEY AVE,OAK PARK,60302,2025
16051020160000,2025,203,27,Oak Park,27030,27163,5837,33000,27163,5837,33000,27163,5837,33000,1340,4490,1925,1,3,1,0,1,1 Story,improvement,,,,,1233 N LOMBARD AVE,OAK PARK,60302,2025
16051020170000,2025,203,27,Oak Park,27030,25989,6011,32000,25989,6011,32000,25989,6011,32000,1197,4624,1918,1,3,1,0,1,1 Story,improvement,,,,,1229 N LOMBARD AVE,OAK PARK,60302,2025
16051020180000,2025,203,27,Oak Park,27030,28989,6011,35000,28989,6011,35000,28989,6011,35000,1344,4624,1918,1,3,1,0,1,1 Story,improvement,,,,,1227 N LOMBARD AVE,OAK PARK,60302,2025
16051020190000,2025,203,27,Oak Park,27030,29989,6011,36000,29989,6011,36000,29989,6011,36000,1544,4624,1925,1,2,1,0,1,1.5 Story,improvement,,,,,1225 N LOMBARD AVE,OAK PARK,60302,2025
16051020200000,2025,203,27,Oak Park,27030,29989,6011,36000,29989,6011,36000,27436,6011,33447,1426,4624,1925,1,3,1,0,1,1 Story,improvement,,,,,1221 N LOMBARD AVE,OAK PARK,60302,2025
16051020210000,2025,205,27,Oak Park,27030,27086,6011,33097,27086,6011,33097,27086,6011,33097,1440,4624,1920,1,3,1,0,1,2 Story,improvement,,,,,1219 N LOMBARD AVE,OAK PARK,60302,2025
16051020220000,2025,204,27,Oak Park,27030,38421,6011,44432,38421,6011,44432,38421,6011,44432,2150,4624,1925,1,3,2,1,1,1.5 Story,improvement,,,,,1215 N LOMBARD AVE,OAK PARK,60302,2025
16051020230000,2025,203,27,Oak Park,27030,27054,5946,33000,27054,5946,33000,27054,5946,33000,1278,4574,1923,1,3,1,0,1,1 Story,improvement,,,,,1213 N LOMBARD AVE,OAK PARK,60302,2025
16051020240000,2025,204,27,Oak Park,27030,38806,6195,45001,38806,6195,45001,38806,6195,45001,2037,4765,1926,1,4,2,0,1,1.5 Story,improvement,,,,,222 LE MOYNE PKY,OAK PARK,60302,2025
16051020250000,2025,204,27,Oak Park,27030,33130,5688,38818,33130,5688,38818,33130,5688,38818,1892,4375,1924,1,4,2,1,1,1.5 Story,improvement,,,,,220 LE MOYNE PKY,OAK PARK,60302,2025
16051020260000,2025,203,27,Oak Park,27030,26047,5688,31735,26047,5688,31735,26047,5688,31735,1335,4375,1924,1,3,1,1,1,1 Story,improvement,,,,,216 LE MOYNE PKY,OAK PARK,60302,2025
16051020270000,2025,203,27,Oak Park,27030,35313,5688,41001,35313,5688,41001,35313,5688,41001,1552,4375,1925,1,4,1,1,1,1.5 Story,improvement,,,,,214 LE MOYNE PKY,OAK PARK,60302,2025
16051020280000,2025,203,27,Oak Park,27030,32835,5688,38523,32835,5688,38523,32835,5688,38523,1647,4375,1927,1,4,2,0,1,1.5 Story,improvement,,,,,212 LE MOYNE PKY,OAK PARK,60302,2025
16051020290000,2025,204,27,Oak Park,27030,37313,5688,43001,37313,5688,43001,37313,5688,43001,1897,4375,1925,1,4,2,0,1,1 Story,improvement,,,,,208 LE MOYNE PKY,OAK PARK,60302,2025
16051020300000,2025,204,27,Oak Park,27030,42859,5688,48547,42859,5688,48547,42859,5688,48547,2631,4375,1924,1,6,3,1,1,1.5 Story,improvement,,,,,206 LE MOYNE PKY,OAK PARK,60302,2025
16051020310000,2025,204,27,Oak Park,27030,50500,6500,57000,50500,6500,57000,37121,6500,43621,2052,5000,1926,1,4,3,1,1,1.5 Story,improvement,,,,,202 LE MOYNE PKY,OAK PARK,60302,2025
16051020320000,2025,517,27,Oak Park,27030,96929,288008,384937,96929,288008,384937,96929,288008,384937,,,,,,,,,,,,,,,6201 NORTH AVE,OAK PARK,60302,2025
16051030010000,2025,318,27,Oak Park,27030,120875,8125,129000,120875,8125,129000,120875,8125,129000,,,,,,,,,,,,,,,6149 NORTH AVE,OAK PARK,60302,2025
16051030020000,2025,517,27,Oak Park,27030,110093,100000,210093,110093,100000,210093,110093,100000,210093,,,,,,,,,,,,,,,6147 NORTH AVE,OAK PARK,60302,2025
16051030080000,2025,205,27,Oak Park,27030,30114,5886,36000,30114,5886,36000,30114,5886,36000,1236,4528,1923,1,4,1,1,1,2 Story,improvement,,,,,1230 N LOMBARD AVE,OAK PARK,60302,2025
16051030090000,2025,205,27,Oak Park,27030,34945,6055,41000,34945,6055,41000,34945,6055,41000,1788,4658,1924,1,3,1,1,1,2 Story,improvement,,,,,1228 N LOMBARD AVE,OAK PARK,60302,2025
16051030100000,2025,204,27,Oak Park,27030,36945,6055,43000,36945,6055,43000,36945,6055,43000,1958,4658,1925,1,4,1,0,1,1.5 Story,improvement,,,,,1226 N LOMBARD AVE,OAK PARK,60302,2025
16051030110000,2025,206,27,Oak Park,27030,47945,6055,54000,47945,6055,54000,47945,6055,54000,2259,4658,1923,1,4,2,0,1,2 Story,improvement,,,,,1224 N LOMBARD AVE,OAK PARK,60302,2025
