record_id,license_number,name,doing_business_as,license_status,issued_status,date_start,start_year,date_end,end_year,first_issued_date,last_issued_date,last_issued_expired_date,license_entered_date,last_issued_entered_date,major_category_code,major_category,general_category_code,general_category,sub_category_code,sub_category,sub_category_group,license_classes,home_based,liquor,mobile,business_district,street_address,unit,address,street,address_status,zoning,land_use_code,latitude,longitude,cityview_link
13325,LCB1068,"Pedios, Ltd","Pedios, Ltd",Active,Not Renewed,1979-04-01,1979,,,2016-04-29,2024-04-01,2025-03-31,1979-04-01,2024-02-27,BMJ3,Service,BBS5,Medical,BSB132,Pediatricst,Pediatricst,Professional Offices,0,0,0,Chicago @ Austin,260 CHICAGO AVE,,260 Chicago Ave,CHICAGO AVE,A,NC,1215,41.8947039,-87.7828653,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13325/B
13326,LCB9140,Camelot Therapeutic Schools Llc,Therapeutic Day School,InActive,Not Renewed,2012-08-17,2012,2016-06-02,2016,2016-04-05,2016-04-05,2017-03-31,2012-07-11,2016-04-05,BMJ3,Service,BBS7,Professional Services,BSB9,Day Care Centers,Day Care Centers,"Category 2 Medium Risk Food Establishments; General Business 8,000 + Square Feet",0,0,0,North Avenue,6525 NORTH AVE,,6525 North Ave,NORTH AVE,A,NA,1215,41.9089401,-87.7883645,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13326/B
13327,LCB2608,Oak Park Books,The Magic Tree Bookstore,InActive,Not Renewed,1989-09-06,1989,2019-02-08,2019,2016-04-04,2018-04-01,2019-03-31,1989-08-10,2018-02-12,BMJ1,Retail,BBS9,Retail/General,BSB71,Book Store,Book Store,"General Business 0 - 1,999 Square Feet",0,0,0,Hemingway,141 N OAK PARK AVE,,141 N Oak Park Ave,N OAK PARK AVE,A,DT-2,1215,41.8883286,-87.7946287,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13327/B
13328,LCB1312,Sister 2 Sister Llc,Sister 2 Sister,Active,Renewed,1995-12-11,1995,,,2015-02-24,2026-04-01,2027-03-31,1995-12-05,2026-03-05,BMJ3,Service,BBS6,Personal Services,BSB27,Beauty Salon,Beauty Salon,"General Business 0 - 1,999 Square Feet",0,0,0,Oak Park Arts,417 HARRISON ST,,417 Harrison St,HARRISON ST,A,HS,1216,41.8725132,-87.7851013,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13328/B
13330,LCB3029,Reliable Management Realty Ltd,Reliable Management Realty,InActive,Not Renewed,2005-04-04,2005,2021-03-02,2021,2016-04-02,2020-04-01,2021-03-31,2003-05-07,2020-02-21,BMJ3,Service,BBS7,Professional Services,BSB148,Real Estate Management,Real Estate Management,"General Business 0 - 1,999 Square Feet",0,0,0,Hemingway,711 SOUTH BLVD,,711 South Blvd,SOUTH BLVD,A,DT-2,1215,41.8867327,-87.7935107,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13330/B
13331,LCB2137,Fringe Home Design,Fringe Home Design,InActive,Not Renewed,2008-04-18,2008,2017-05-04,2017,2016-04-02,2016-04-02,2017-03-31,2008-03-25,2016-04-02,,,,,,,,"General Business 0 - 1,999 Square Feet",0,0,0,Pleasant,1033 SOUTH BLVD,,1033 South Blvd,SOUTH BLVD,A,DT-3,1215,41.8866682,-87.8016931,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13331/B
13332,LCB1891,Farmers Insurance,Farmers Insurance,InActive,Not Renewed,2008-02-01,2008,2022-01-04,2022,2016-04-13,2021-04-01,2022-03-31,2008-03-31,2021-03-08,BMJ3,Service,BBS7,Professional Services,BSB16,Insurance,Insurance,Professional Offices,0,0,0,Madison Street,1047 MADISON ST,,1047 Madison St,MADISON ST,A,MS,1310,41.8795305,-87.8020475,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13332/B
13333,LCB3366,Dancing Krow Studio,Dancing Krow Studio,Active,Renewed,2008-05-23,2008,,,2016-04-17,2026-04-01,2027-03-31,2008-04-09,2026-03-05,BMJ4,Other,BBS2,Education,BSB100,Dancing School,Dancing School,"General Business 0 - 1,999 Square Feet",0,0,0,Oak Park Arts,43 HARRISON ST,,43 Harrison St,HARRISON ST,A,HS,1130,41.8726456,-87.7764403,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13333/B
13334,LCB8702,"Medicova, Llc.",Rustico,InActive,Not Renewed,2011-07-08,2011,2023-11-14,2023,2016-04-05,2023-04-01,2023-11-14,2011-06-13,2023-02-06,BMJ1,Retail,BBS8,Restaurant,BSB40,Casual,Casual,"B-4 Restaurant/50+ Seats w/Lounge; Restaurant, Category 1 - High Risk",0,1,0,Hemingway,722 LAKE ST,,722 Lake St,LAKE ST,A,DT-2,1215,41.8887280,-87.7938388,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13334/B
13335,LCB9137,Nails Garden 2 Inc.,Nails Garden 2 Inc.,InActive,Not Renewed,2012-07-31,2012,2019-04-05,2019,2016-04-02,2018-04-01,2019-03-31,2012-06-28,2018-02-20,BMJ3,Service,BBS6,Personal Services,BSB37,Nail Salon,Nail Salon,"General Business 0 - 1,999 Square Feet",0,0,0,Chicago @ Austin,244 CHICAGO AVE,,244 Chicago Ave,CHICAGO AVE,A,NC,1215,41.8948949,-87.7821754,https://walnut.oak-park.us/CityViewWorkspace/#/Workspace/LC/LIC13335/B
