year,cpi_u_annual_avg,to_latest_year_dollars,latest_year
2000,172.192,1.869785,2025
2001,177.042,1.818563,2025
2002,179.867,1.790000,2025
2003,184.000,1.749793,2025
2004,188.908,1.704332,2025
2005,195.267,1.648830,2025
2006,201.558,1.597367,2025
2007,207.344,1.552791,2025
2008,215.254,1.495731,2025
2009,214.565,1.500534,2025
2010,218.076,1.476375,2025
2011,224.923,1.431432,2025
2012,229.586,1.402359,2025
2013,232.952,1.382096,2025
2014,236.715,1.360125,2025
2015,237.002,1.358478,2025
2016,240.005,1.341480,2025
2017,245.121,1.313482,2025
2018,251.100,1.282206,2025
2019,255.653,1.259371,2025
2020,258.856,1.243788,2025
2021,270.973,1.188170,2025
2022,292.626,1.100251,2025
2023,304.703,1.056642,2025
2024,313.698,1.026344,2025
2025,321.962,1.000000,2025
