objectid,icn,statistical_yearof_crash,contrib_cause_prim,contrib_cause_prim_grouping,contrib_cause_sec,type_of_first_crash,traf_control_device,traf_control_device_cond,weather_cond,lighting_cond,ts_crash_latitude,ts_crash_longitude,crash_report_city,crash_injury_severity,is_injury,is_fatal_injury,crash_injury_severity_sort,crash_time_hour,crash_time_mins,is_holiday,is_intersection,is_hit_and_run,is_work_zone_related,is_all_insured,is_any_citation,crash_report_district,crash_report_region,intersection_streets,total_fatals,total_injured,crash_day_of_week,is_teen_driver_crash,is_pedestrain,is_pedalcyclist,is_traffic_signal,is_light_support,is_culvert,is_curb,is_cable_median_barrier,a_injury_crash_ind,b_injury_crash_ind,c_injury_crash_ind,o_injury_crash_ind,ka_crash_ind,kab_crash_ind,dooring_with_pedalcyclist,did_crash_occur_in_work_zone,urban,located_by,latitude,longitude
29,202101289143,2021,Failing to Reduce Speed to Avoid Crash,Speed,Unable to Determine,Pedalcyclist,Pedestrian Crossing Sign,Functioning Properly,Clear,Daylight,41.894520048701764,-87.78812185046442,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,17,31,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Chicago Ave/N Scoville Ave,0,1,Fri,No,No,Yes,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.89452,-87.7881218
87,202401078673,2024,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedestrian,No Controls,No Controls,Clear,Daylight,41.88005682914404,-87.78015679775557,Oak Park,0-Property damage crash,No,No,4,14,28,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,0,Sat,No,Yes,No,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.8800568,-87.7801568
684,202301128796,2023,Failing to Yield Right of Way,Other,Driving Skills/Knowledge/Experience,Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.876331964538025,-87.77945082900564,Oak Park,A-Incapacitating injury crash,Yes,No,1,08,06,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Thu,No,No,Yes,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.876332,-87.7794508
804,202301321724,2023,Driving Skills/Knowledge/Experience,Other,(N/A),Pedalcyclist,Stop Sign,Functioning Properly,Clear,Daylight,41.87616439779484,-87.7904399595124,Oak Park,0-Property damage crash,No,No,4,13,18,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Clarence Ave/Jackson Blvd,0,0,Sat,No,No,Yes,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.8761644,-87.79044
843,202101294204,2021,Unable to Determine,Other,(N/A),Pedalcyclist,Stop Sign,No Controls,Clear,Daylight,41.886920139835425,-87.78954040735377,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,28,No,Yes,No,Yes,Yes,No,District 1,Region 1,East Ave/South Bl,0,1,Thu,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8869201,-87.7895404
1059,202301323199,2023,Disregarding Traffic Signals,Disregarding Traffic Control,Failing to Yield Right of Way,Pedalcyclist,Traffic Signal,Functioning Properly,Clear,Daylight,41.886975499482396,-87.78463991483024,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,58,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,S Ridgeland Ave/South Blvd,0,1,Mon,Yes,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8869755,-87.7846399
1607,202101121532,2021,Failing to Yield Right of Way,Other,Unable to Determine,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.87925050523898,-87.78441303095795,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,38,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8792505,-87.784413
1752,202101299114,2021,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Cloudy/Overcast,Daylight,41.890553699391326,-87.80511001936628,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,08,25,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,N Harlem Ave/Ontario St,0,1,Mon,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8905537,-87.80511
1837,202001183453,2020,Disregarding Traffic Signals,Disregarding Traffic Control,Unable to Determine,Pedestrian,No Controls,No Controls,Clear,Daylight,41.865362913279625,-87.80422039300733,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,12,24,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Wed,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8653629,-87.8042204
1932,202301141008,2023,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,No Controls,No Controls,Clear,Daylight,41.898031421312865,-87.79606141927954,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,23,Yes,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Fri,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8980314,-87.7960614
