crash_year,crash_date,day_of_week,crash_hour,time_of_crash,crash_severity,crash_injury_severity,total_injured,total_fatals,a_injuries,b_injuries,c_injuries,no_injuries,type_of_first_crash,collision_type_code,pedestrian_involved,pedalcyclist_involved,cause1,cause2,lighting_cond,weather_cond,road_surface_cond,intersection_related,is_intersection,highway_or_street_name,at_intersection_with,address_no,traffic_control_device,traffic_control_device_cond,hit_and_run,number_of_vehicles,latitude,longitude,location_status,access_control,agency_code,agency_report_number,agency_report_year,alignment_code,cause1_code,cause2_code,city_class,city_class_code,city_code,city_name,city_township_flag,class_of_trafficway,class_of_trafficway_code,county_code,crash_day,crash_id,crash_month,crash_report_county,crash_severity_cd,crash_yr_source,damaged_property1,damaged_property2,day_of_week_code,did_crash_occur_in_work_zone,did_involve_secondary_crash,flow_condition,icn,investigating_agency_descrip,light_condition_code,mile_station,nhs,non_intersection_direction,non_intersection_distance,non_intersection_units,number_of_lanes,objectid,railroad_crossing_number,road_alignment,road_defects,road_defects_code,road_surface_condition_code,roadway_functional_class,roadway_functional_class_code,route_number,sfe,toll,township,traffic_control_device_code,traffic_control_device_cond_code,trafficway_descrip,trafficway_description_code,ts_crash_coordinate_x,ts_crash_coordinate_y,ts_crash_latitude,ts_crash_longitude,type_report,urban_rural,weather_code,were_workers_present,work_zone,work_zone_related,work_zone_type
2019,2019-01-01,Tuesday,10,10:00 AM,Property Damage,No Injuries,0,0,0,0,0,2,Front to Rear,11,N,N,Following Too Closely,Failing to Reduce Speed to Avoid Crash,Daylight,Clear,Dry,N,,,,,Lane Use Marking,Functioning Properly,N,2,41.8734672,-87.8041011,ok,Partial Access Control,3,03-19-00043,2019,2,3,28,50000 and OVER,9,4295,Oak Park,C,Urban InterState (PAS),0,16,1,10246959,1,Cook,0,19,,,2,N,(UNK),(UNK),201901010157,ISP,1,21.6,Y,,,,1,124,(N/A),Straight On Grade,No Defects,1,1,InterState (PAS),1,9290,X001407822,Not Toll,73,12,4,Divided With Median Barrier,3,2940029.48931061,1905272.08073185,41.873459317380906,-87.8041,,Urban,1,N,(N/A),Y,(N/A)
2019,2019-01-03,Thursday,10,10:00 AM,Property Damage,No Injuries,0,0,0,0,0,3,Turning,10,N,N,Distraction - From Inside Vehicle,(N/A),Daylight,Other,Ice,Y,,,,,Stop Sign,Functioning Properly,N,3,41.9089244,-87.8002631,ok,(UNK),1,JC102808,2019,1,41,99,50000 and OVER,9,4295,Oak Park,C,Urban Other Principal Arte,0,16,3,10252049,1,Cook,0,19,,,4,N,(UNK),(UNK),201901012314,City,1,129.46,Y,,,,5,1200,(N/A),Straight and Level,No Defects,1,4,Other Principal Arterial (PAS),3,5064,X001411905,Not Toll,73,2,4,Divided With Median Barrier,3,2940718.29413991,1918222.156088,41.90891650460346,-87.8003,,Urban,7,N,(N/A),Y,(N/A)
2019,2019-01-01,Tuesday,12,12:02 PM,Property Damage,No Injuries,0,0,0,0,0,4,Front to Rear,11,N,N,Failing to Reduce Speed to Avoid Crash,(N/A),Daylight,Cloudy/Overcast,Dry,N,,,,,No Controls,No Controls,N,3,41.8887984,-87.7945197,ok,(N/A),1,2019,,1,28,99,50000 and OVER,9,4295,Oak Park,C,Urban Major Collector,0,16,1,10250145,1,Cook,C,19,0,,2,X001410742,(UNK),(UNK),201901011494,Major,1,5.52,N,,,,2,1296,(N/A),Straight and Level,No Defects,1,1,No Median Barrier,5,2775,1900004,Urban,73,1,1,Divided,2,2942484.64027503,1910931.06410307,41.88879051218721,-87.7945,,(UNK),8,(N/A),N,Y,N
2019,2019-01-02,Wednesday,09,09:06 AM,Property Damage,No Injuries,0,0,0,0,0,3,Front to Rear,11,N,N,Following Too Closely,(N/A),Daylight,Snow,Wet,Y,,,,,No Controls,No Controls,N,2,41.9090335,-87.7926432,ok,(N/A),1,2019,,1,3,99,50000 and OVER,9,4295,Oak Park,C,Urban Other Principal Arte,6,16,2,10250149,1,Cook,C,19,0,,3,X001410745,(UNK),(UNK),201901011497,Other,1,129.85,Y,,,,4,1297,(N/A),Straight and Level,No Defects,1,2,No Median Barrier,3,5064,1900017,Urban,73,1,1,Divided,2,2942791.44012026,1918319.27105272,41.90902562847064,-87.7926,,(UNK),3,(N/A),N,Y,N
2019,2019-01-02,Wednesday,18,06:16 PM,Property Damage,No Injuries,0,0,0,0,0,2,Parked Motor Vehicle,9,N,N,Unable to Determine,Unable to Determine,Darkness / Lighted Road,Cloudy/Overcast,Dry,N,,,,,No Controls,No Controls,Y,2,41.8798032,-87.7881185,ok,(UNK),1,1900033,2019,1,18,18,50000 and OVER,9,4295,Oak Park,C,Urban Minor Arterial,8,16,2,10250152,1,Cook,0,19,,,3,N,(UNK),(UNK),201901011499,City,5,0,N,,,,(UNK),1298,(N/A),Straight and Level,No Defects,1,1,Minor Arterial,4,,X001410748,Not Toll,73,1,1,Parking Lot,7,2944318.6031539,1907701.33250108,41.87979534162885,-87.7881,,Urban,8,N,(N/A),Y,(N/A)
2019,2019-01-03,Thursday,10,10:00 AM,Property Damage,No Injuries,0,0,0,0,0,2,Sideswipe Same Direction,12,N,N,Failing to Yield Right of Way,Improper Lane Usage,Daylight,Clear,Dry,N,,,,,No Controls,No Controls,N,2,41.8668502,-87.8042745,ok,(UNK),1,1900038,2019,1,2,20,50000 and OVER,9,4295,Oak Park,C,Urban Other Principal Arte,6,16,3,10250153,1,Cook,0,19,,,4,N,(UNK),(UNK),201901011501,City,1,25.14,Y,,,,4,1299,(N/A),Straight and Level,No Defects,1,1,Other Principal Arterial (PAS),3,5043,X001410749,Not Toll,73,1,1,Not Divided,1,2940048.6559528,1902859.43929245,41.86684234465895,-87.8043,,Urban,1,N,(N/A),Y,(N/A)
2019,2019-01-03,Thursday,17,05:04 PM,Property Damage,No Injuries,0,0,0,0,0,2,Front to Rear,11,N,N,Following Too Closely,Failing to Reduce Speed to Avoid Crash,Darkness / Lighted Road,Clear,Dry,N,,,,,Lane Use Marking,Functioning Properly,N,2,41.87189,-87.7835417,ok,Partial Access Control,3,03-19-00128,2019,1,3,28,50000 and OVER,9,4295,Oak Park,C,Urban InterState (PAS),5,16,3,10249738,1,Cook,0,19,,,4,N,(UNK),(UNK),201901011293,ISP,5,22.62,Y,,,,6,1312,(N/A),Straight and Level,No Defects,1,1,InterState (PAS),1,9290,X001410406,Not Toll,73,12,4,Divided With Median Barrier,3,2945645.16952156,1904852.23455219,41.8718822000877,-87.7835,,Urban,1,N,(N/A),Y,(N/A)
2019,2019-01-03,Thursday,09,09:14 AM,Property Damage,No Injuries,0,0,0,0,0,2,Turning,10,N,N,Disregarding Traffic Signals,(N/A),Daylight,Clear,Dry,Y,,,,,Traffic Signal,Functioning Properly,N,2,41.8761172,-87.7941118,ok,(UNK),1,1900037,2019,1,25,99,50000 and OVER,9,4295,Oak Park,C,Urban Major Collector,8,16,3,10250154,1,Cook,0,19,,,4,N,(UNK),(UNK),201901011502,City,1,0,N,,,,2,1313,(N/A),Straight and Level,No Defects,1,1,Major Collector,5,,X001410750,Not Toll,73,3,4,Not Divided,1,2942723.53738791,1906312.9029614,41.87610939413013,-87.7941,,Urban,1,N,(N/A),Y,(N/A)
2019,2019-01-03,Thursday,14,02:27 PM,Property Damage,No Injuries,0,0,0,0,0,2,Sideswipe Same Direction,12,N,N,Unable to Determine,Unable to Determine,Daylight,Clear,Dry,Y,,,,,No Controls,No Controls,N,2,41.8687199,-87.8043355,ok,(N/A),1,2019,,1,18,18,50000 and OVER,9,4295,Oak Park,C,Urban Other Principal Arte,6,16,3,10250155,1,Cook,C,19,0,,4,X001410751,(UNK),(UNK),201901011503,Other,1,25.26,Y,,,,4,1314,(N/A),Straight and Level,No Defects,1,1,No Median Barrier,3,5043,1900043,Urban,73,1,1,Divided,2,2940013.26867457,1903540.34122857,41.86871206808898,-87.8043,,(UNK),1,(N/A),N,Y,N
2019,2019-01-03,Thursday,18,06:51 PM,Property Damage,No Injuries,0,0,0,0,0,2,Sideswipe Same Direction,12,N,N,Unable to Determine,Unable to Determine,Darkness / Lighted Road,Rain,Wet,N,,,,,Traffic Signal,Functioning Properly,Y,2,41.8722932,-87.7743723,ok,(UNK),1,1900050,2019,1,18,18,50000 and OVER,9,4295,Oak Park,C,Urban Minor Arterial,0,16,3,10251820,1,Cook,0,19,,,4,N,(UNK),(UNK),201901012147,City,5,8.28,N,,,,4,1418,(N/A),Straight and Level,No Defects,1,2,Minor Arterial,4,2790,X001411684,Not Toll,,3,4,Not Divided,1,2948138.56170079,1905068.65726671,41.87228534328865,-87.7744,,Urban,2,N,(N/A),Y,(N/A)
