series,id,name,line,in_oak_park,date,daytype,rides,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,month_total
bus_route_monthly,126,Jackson,,,2015-01-01,,,5932.30,2871.20,1991.30,148891
bus_route_monthly,20,Madison,,,2015-01-01,,,17635.50,9609.50,7015.20,453470
bus_route_monthly,66,Chicago,,,2015-01-01,,,22544.30,13656.10,9357.80,588499
bus_route_monthly,70,Division,,,2015-01-01,,,8801.30,5622.60,3942.10,232651
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-01-01,,,2557.10,0,0,53700
bus_route_monthly,90,Harlem,,,2015-01-01,,,4267,3032.50,1854,114038
bus_route_monthly,91,Austin,,,2015-01-01,,,6511.20,3742.40,2381.20,167354
bus_route_monthly,126,Jackson,,,2015-02-01,,,6153.10,2967.50,1848.40,142325
bus_route_monthly,20,Madison,,,2015-02-01,,,18361.50,10982.90,7149.90,439761
bus_route_monthly,66,Chicago,,,2015-02-01,,,24047.70,15241.50,9637.70,580470
bus_route_monthly,70,Division,,,2015-02-01,,,9412.60,6257.60,4353.90,230698
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-02-01,,,2822.70,0,0,56455
bus_route_monthly,90,Harlem,,,2015-02-01,,,4504.10,3256.70,1857.80,110540
bus_route_monthly,91,Austin,,,2015-02-01,,,6829.30,3839.40,2358.50,161378
bus_route_monthly,126,Jackson,,,2015-03-01,,,6709.60,3318.10,2360.80,172687
bus_route_monthly,20,Madison,,,2015-03-01,,,19141.50,10649.80,7564.50,501535
bus_route_monthly,66,Chicago,,,2015-03-01,,,24764.40,15508.10,10199.70,657848
bus_route_monthly,70,Division,,,2015-03-01,,,10081.50,6613,4499.60,270742
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-03-01,,,3082.90,0,0,67824
bus_route_monthly,90,Harlem,,,2015-03-01,,,5059,3932.30,2275.20,138404
bus_route_monthly,91,Austin,,,2015-03-01,,,7481.90,4322.80,2770.30,195744
bus_route_monthly,126,Jackson,,,2015-04-01,,,6313.50,3231.60,2398.40,161417
bus_route_monthly,20,Madison,,,2015-04-01,,,17616.20,10621.40,7588.40,460395
bus_route_monthly,66,Chicago,,,2015-04-01,,,23977.20,15223.90,10805.40,631616
bus_route_monthly,70,Division,,,2015-04-01,,,9613,6397.60,4630.10,255596
