breakdown,month,weekday,time_block,referral_source,service,count
service_by_month,2025-02,,,,Behavioral Health,4
service_by_month,2025-02,,,,Domestic Violence,2
service_by_month,2025-02,,,,Housing,8
service_by_month,2025-02,,,,Other,3
service_by_month,2025-02,,,,Senior Services,1
service_by_month,2025-02,,,,Unhoused Resident,7
service_by_month,2025-03,,,,Behavioral Health,4
service_by_month,2025-03,,,,Financial Support,2
service_by_month,2025-03,,,,Food Services,1
service_by_month,2025-03,,,,Housing,5
service_by_month,2025-03,,,,Medical Support,2
service_by_month,2025-03,,,,Senior Services,24
service_by_month,2025-03,,,,Unhoused Resident,14
service_by_month,2025-03,,,,Youth/Family Services,1
service_by_month,2025-04,,,,Behavioral Health,7
service_by_month,2025-04,,,,Financial Support,5
service_by_month,2025-04,,,,Food Services,1
service_by_month,2025-04,,,,Housing,13
service_by_month,2025-04,,,,Medical Support,2
service_by_month,2025-04,,,,Senior Services,23
service_by_month,2025-04,,,,Unhoused Resident,7
service_by_month,2025-04,,,,Youth/Family Services,1
service_by_month,2025-05,,,,Behavioral Health,8
service_by_month,2025-05,,,,Domestic Violence,1
service_by_month,2025-05,,,,Housing,11
service_by_month,2025-05,,,,Medical Support,4
service_by_month,2025-05,,,,Senior Services,14
service_by_month,2025-05,,,,Unhoused Resident,4
service_by_month,2025-05,,,,Youth/Family Services,3
service_by_month,2025-06,,,,Behavioral Health,18
service_by_month,2025-06,,,,Domestic Violence,4
service_by_month,2025-06,,,,Financial Support,3
service_by_month,2025-06,,,,Food Services,1
service_by_month,2025-06,,,,Housing,8
service_by_month,2025-06,,,,Other,1
service_by_month,2025-06,,,,Senior Services,19
service_by_month,2025-06,,,,Unhoused Resident,7
service_by_month,2025-06,,,,Youth/Family Services,13
service_by_month,2025-07,,,,Behavioral Health,11
service_by_month,2025-07,,,,Domestic Violence,1
service_by_month,2025-07,,,,Financial Support,5
service_by_month,2025-07,,,,Housing,9
service_by_month,2025-07,,,,Medical Support,1
service_by_month,2025-07,,,,Senior Services,15
service_by_month,2025-07,,,,Unhoused Resident,9
service_by_month,2025-07,,,,Youth/Family Services,2
service_by_month,2025-08,,,,Behavioral Health,18
service_by_month,2025-08,,,,Domestic Violence,3
service_by_month,2025-08,,,,Financial Support,3
service_by_month,2025-08,,,,Food Services,1
service_by_month,2025-08,,,,Housing,21
service_by_month,2025-08,,,,Medical Support,8
service_by_month,2025-08,,,,Senior Services,17
service_by_month,2025-08,,,,Unhoused Resident,22
service_by_month,2025-08,,,,Youth/Family Services,6
service_by_month,2025-09,,,,Behavioral Health,39
service_by_month,2025-09,,,,Domestic Violence,10
service_by_month,2025-09,,,,Financial Support,3
service_by_month,2025-09,,,,Food Services,4
service_by_month,2025-09,,,,Housing,30
service_by_month,2025-09,,,,Medical Support,3
service_by_month,2025-09,,,,Other,6
service_by_month,2025-09,,,,Senior Services,33
service_by_month,2025-09,,,,Unhoused Resident,38
service_by_month,2025-09,,,,Youth/Family Services,12
service_by_month,2025-10,,,,Behavioral Health,30
service_by_month,2025-10,,,,Financial Support,1
service_by_month,2025-10,,,,Housing,21
service_by_month,2025-10,,,,Other,2
service_by_month,2025-10,,,,Senior Services,8
service_by_month,2025-10,,,,Unhoused Resident,27
service_by_month,2025-10,,,,Youth/Family Services,4
service_by_month,2025-11,,,,Behavioral Health,24
service_by_month,2025-11,,,,Domestic Violence,4
service_by_month,2025-11,,,,Financial Support,3
service_by_month,2025-11,,,,Food Services,4
service_by_month,2025-11,,,,Housing,16
service_by_month,2025-11,,,,Medical Support,1
service_by_month,2025-11,,,,Other,3
service_by_month,2025-11,,,,Senior Services,25
service_by_month,2025-11,,,,Unhoused Resident,20
service_by_month,2025-11,,,,Youth/Family Services,5
service_by_month,2025-12,,,,Behavioral Health,20
service_by_month,2025-12,,,,Domestic Violence,2
service_by_month,2025-12,,,,Financial Support,1
service_by_month,2025-12,,,,Housing,19
service_by_month,2025-12,,,,Other,2
service_by_month,2025-12,,,,Senior Services,11
service_by_month,2025-12,,,,Unhoused Resident,27
service_by_month,2025-12,,,,Youth/Family Services,8
service_by_month,2026-01,,,,Behavioral Health,22
service_by_month,2026-01,,,,Domestic Violence,2
service_by_month,2026-01,,,,Financial Support,3
service_by_month,2026-01,,,,Housing,15
service_by_month,2026-01,,,,Other,3
service_by_month,2026-01,,,,Senior Services,13
service_by_month,2026-01,,,,Unhoused Resident,27
service_by_month,2026-01,,,,Youth/Family Services,4
service_by_month,2026-02,,,,Behavioral Health,19
service_by_month,2026-02,,,,Domestic Violence,2
service_by_month,2026-02,,,,Financial Support,6
service_by_month,2026-02,,,,Housing,13
service_by_month,2026-02,,,,Other,1
service_by_month,2026-02,,,,Senior Services,8
service_by_month,2026-02,,,,Unhoused Resident,21
service_by_month,2026-02,,,,Youth/Family Services,2
service_by_month,2026-03,,,,Behavioral Health,7
service_by_month,2026-03,,,,Domestic Violence,1
service_by_month,2026-03,,,,Financial Support,5
service_by_month,2026-03,,,,Food Services,1
service_by_month,2026-03,,,,Housing,7
service_by_month,2026-03,,,,Medical Support,1
service_by_month,2026-03,,,,Other,3
service_by_month,2026-03,,,,Senior Services,19
service_by_month,2026-03,,,,Unhoused Resident,19
service_by_month,2026-03,,,,Youth/Family Services,4
service_by_month,2026-04,,,,Behavioral Health,23
service_by_month,2026-04,,,,Financial Support,3
service_by_month,2026-04,,,,Housing,9
service_by_month,2026-04,,,,Medical Support,1
service_by_month,2026-04,,,,Other,4
service_by_month,2026-04,,,,Senior Services,15
service_by_month,2026-04,,,,Unhoused Resident,22
service_by_month,2026-04,,,,Youth/Family Services,6
service_by_month,2026-05,,,,Behavioral Health,12
service_by_month,2026-05,,,,Domestic Violence,2
service_by_month,2026-05,,,,Financial Support,5
service_by_month,2026-05,,,,Housing,6
service_by_month,2026-05,,,,Medical Support,2
service_by_month,2026-05,,,,Other,22
service_by_month,2026-05,,,,Senior Services,3
service_by_month,2026-05,,,,Unhoused Resident,44
service_by_month,2026-05,,,,Youth/Family Services,7
service_by_month,2026-06,,,,Behavioral Health,5
service_by_month,2026-06,,,,Domestic Violence,7
service_by_month,2026-06,,,,Financial Support,3
service_by_month,2026-06,,,,Food Services,3
service_by_month,2026-06,,,,Housing,9
service_by_month,2026-06,,,,Medical Support,7
service_by_month,2026-06,,,,Other,15
service_by_month,2026-06,,,,Senior Services,3
service_by_month,2026-06,,,,Unhoused Resident,39
service_by_month,2026-06,,,,Youth/Family Services,6
service_by_month,2026-07,,,,(blank),11
service_by_month,2026-07,,,,Behavioral Health,11
service_by_month,2026-07,,,,Domestic Violence,2
service_by_month,2026-07,,,,Financial Support,1
service_by_month,2026-07,,,,Food Services,1
service_by_month,2026-07,,,,Housing,23
service_by_month,2026-07,,,,Medical Support,3
service_by_month,2026-07,,,,Other,9
service_by_month,2026-07,,,,Senior Services,7
service_by_month,2026-07,,,,Unhoused Resident,50
service_by_month,2026-07,,,,Youth/Family Services,3
service_by_month,2026-08,,,,(blank),9
service_by_month,2026-08,,,,Behavioral Health,5
service_by_month,2026-08,,,,Domestic Violence,1
service_by_month,2026-08,,,,Financial Support,5
service_by_month,2026-08,,,,Housing,6
service_by_month,2026-08,,,,Medical Support,2
service_by_month,2026-08,,,,Other,8
service_by_month,2026-08,,,,Senior Services,11
service_by_month,2026-08,,,,Unhoused Resident,25
service_by_month,2026-08,,,,Youth/Family Services,3
service_by_month,2026-09,,,,(blank),5
service_by_month,2026-09,,,,Behavioral Health,1
service_by_month,2026-09,,,,Housing,1
service_by_month,2026-09,,,,Medical Support,1
service_by_month,2026-09,,,,Other,2
service_by_month,2026-09,,,,Unhoused Resident,7
referral_by_month,2025-02,,,Business,,1
referral_by_month,2025-02,,,Community Engagement,,2
referral_by_month,2025-02,,,Community Partner,,2
referral_by_month,2025-02,,,Police Department,,5
referral_by_month,2025-02,,,Resident Contact,,13
referral_by_month,2025-02,,,Village of Oak Park Departments,,2
referral_by_month,2025-03,,,Business,,2
