objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
1,532 FAIR OAKS AVE,,,,,,"William and Ella Van Bergen, George Hemingway, Telfer MacArthur",Colonial Revival,,Side Gable,1850-1859,1853,documented,Oak Park-River Forest Historical Society,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,"532 Fair Oaks Ave was built in 1853 or 1854 by James Scoville at the current location of the Cheney Mansion (220 N Euclid Ave). It was moved to its current location in 1894 and was subsequently sold to the Van Bergen family. The third floor contains what is thought to be a studio of John S. Van Bergen, son of the owners and association of Frank Lloyd Wright. The house has also been owned by George Hemingway, prominent local realtor, and Telfer MacArthur, founder of local newspapers. The house has been dramatically altered multiple times since its construction. This includes the removal of the original front porch and dormers, as well as removal of a rear side porch and construction of a new, curved rear enclosed porch. The front porch was removed and a Colonial entrance added in 1921. In 1941, owners John and Phyllis Rockwell commissioned architects Perkins & Will to design a remodel. Elements of the remodel appear to have been completed throughout the following two decades, including major alterations in 1946 (addition of two free-standing fireplaces, restyling of the windows and entry, and removal of three attic dormers), 1954 (specific alterations unknown), and 1958 (specific alterations unknown).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16222__ILLINOIS_COOK__(532-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16222__ILLINOIS_COOK__(532-Fair-Oaks-Ave).pdf,41.8958808,-87.7878143,Frank Lloyd Wright
2,619 FOREST AVE,,,,,,Maurice & Catherine Gauglier,Vernacular,,bungalow,1850-1859,1859,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,moved to site c. 1880 (source: OL 02-26-14); 1952 OL,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20962__ILLINOIS_COOK__(619-Forest-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20962__ILLINOIS_COOK__(619-Forest-Ave).pdf,41.8967844,-87.8009429,Frank Lloyd Wright
3,241 HOME AVE,,,,,,Garland,Greek Revival,,,1850-1859,1854,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,"Originally constructed on Lake St near Forest Ave, tis house was moved to its present location after 1855 and is believed to be the oldest surviving dwelling in the district. The original section of the house was Federal style. Early modifications include the addition at the rear as well as the veranda. Stucco was applied to the frame in 1910. The property was owned for 60 years by Abraham Edmunds, a millworker and cabinetmaker. He trimmed the sitting rooms in birch, hickory, and sycamore and is responsible for the oak front stairway. Edmunds' work can also be seen in Pleasant Home in Oak Park as well as the Walnut Room at Marshall Fields (now Macy's), the Continental Bank, and the Field Museum, all in downtown Chicago (Ridgeland Revealed, p24).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16179__ILLINOIS_COOK__(241-Home-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16179__ILLINOIS_COOK__(241-Home-Ave).pdf,41.8842209,-87.8003913,Ridgeland - Oak Park
4,1122 ONTARIO ST,,,,,,Henry & Marie Schoff,,,,1850-1859,1858,approximate,Village of Oak Park building permit archives.,Non-Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23547__ILLINOIS_COOK__(1122-Ontario-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23547__ILLINOIS_COOK__(1122-Ontario-St).pdf,41.8907918,-87.8037853,Frank Lloyd Wright
5,931 CHICAGO AVE,John Blair House,Anna Wright House,,,,"John Blair, Anna Wright",Folk/Traditional,,Gable and Wing,1860-1869,1866,approximate,Frank Lloyd Wright Trust,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,"The house was purchased by Frank Lloyd Wright to house his mother Anna Wright, who lived in the house for many years.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8280__ILLINOIS_COOK__(931-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8280__ILLINOIS_COOK__(931-Chicago-Ave).pdf,41.894081,-87.7992499,Frank Lloyd Wright
6,1016 ERIE ST,,,,,,A. W. Pebbles,Italianate,,Italianate,1860-1869,1867,documented,Property owner research,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/10543__ILLINOIS_COOK__(1016-Erie-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/10543__ILLINOIS_COOK__(1016-Erie-St).pdf,41.8921491,-87.8011196,Frank Lloyd Wright
7,626 FOREST AVE,,,,,,,National,,gable front,1860-1869,1860,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20963__ILLINOIS_COOK__(626-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20963__ILLINOIS_COOK__(626-Forest-Ave).pdf,41.8970454,-87.8004051,Frank Lloyd Wright
8,332 N GROVE AVE,Kettlestrings House,,,,,,Folk/Traditional,Italianate,Gable and Wing,1860-1869,1865,approximate,"September 24, 2014 article in Wednesday Journal",Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15924__ILLINOIS_COOK__(332-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15924__ILLINOIS_COOK__(332-N-Grove-Ave).pdf,41.892594,-87.795756,Frank Lloyd Wright
9,1022 ONTARIO ST,,,,,,,,,,1860-1869,1862,approximate,Homeowner records,Contributing,No,No,Yes,Frank Lloyd Wright-Praire School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Praire School of Architecture Historic District,,,Formerly the following addresses: 325 Elizabeth (pre-1895) and 325 Ontario (1895 and 1908). It was listed as 1022 Onatrio by 1947. (Dates per Sanborn Fire Insurance Maps),,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23545__ILLINOIS_COOK__(1022-Ontario-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23545__ILLINOIS_COOK__(1022-Ontario-St).pdf,41.89096,-87.801229,Frank Lloyd Wright
10,317 N RIDGELAND AVE,,,,,,,Dutch Colonial Revival,,Dutch Colonial Revival,1860-1869,1862,documented,Property owners,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,Oak Park Survey 1970,317 N Ridgeland Ave (originally N 64th Ave) is a contributing building within the Frank Lloyd Wright-Prairie School of Architecture Historic District. The Dutch Colonial Revival house was built in 1862.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14682__ILLINOIS_COOK__(317-N-Ridgeland-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14682__ILLINOIS_COOK__(317-N-Ridgeland-Ave).pdf,41.892386,-87.7851912,Frank Lloyd Wright
