tax_year,agency_id,agency_code,agency_name,agency_label,agency_type,eav,total_levy,final_rate,extension,oak_park_eav_share,oak_park_extension,report_format,source_pdf,note
2006,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1461989313,1908552,0.126,1842106.53,1.0,1842106.53,legacy,020180000_2006.pdf,
2006,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1461989313,415090,0.028,409357.01,1.0,409357.01,legacy,020180002_2006.pdf,
2006,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1461989313,1309529,0.087,1271930.70,1.0,1271930.70,legacy,020180004_2006.pdf,
2006,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1461989313,16350345,1.119,16359660.41,1.0,16359660.41,legacy,030920000_2006.pdf,
2006,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1461989313,7613544,0.521,7616964.32,1.0,7616964.32,legacy,030920001_2006.pdf,
2006,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1461989313,47447058,3.136,45847984.86,1.0,45847984.86,legacy,040580000_2006.pdf,
2006,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,1953712946,58765851,2.905,56755361.08,0.748313,42470789.54,legacy,042020000_2006.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2006,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1461989313,6348104,0.435,6359653.51,1.0,6359653.51,legacy,050760000_2006.pdf,
2007,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1537939260,1993926,0.124,1907044.68,1.0,1907044.68,legacy,020180000_2007.pdf,
2007,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1537939260,473800,0.03,461381.78,1.0,461381.78,legacy,020180002_2007.pdf,
2007,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1537939260,1342841,0.084,1291868.98,1.0,1291868.98,legacy,020180004_2007.pdf,
2007,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1537939260,17377715,1.13,17378713.64,1.0,17378713.64,legacy,030920000_2007.pdf,
2007,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1537939260,7843875,0.51,7843490.23,1.0,7843490.23,legacy,030920001_2007.pdf,
2007,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1537939260,48923897,3.059,47045561.96,1.0,47045561.96,legacy,040580000_2007.pdf,
2007,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2053605186,60890442,2.848,58486675.70,0.748897,43800510.13,legacy,042020000_2007.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2007,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1537939260,6865795,0.447,6874588.49,1.0,6874588.49,legacy,050760000_2007.pdf,
2008,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1740601475,2157619,0.12,2088721.77,1.0,2088721.77,legacy,020180000_2008.pdf,
2008,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1740601475,434660,0.025,435150.37,1.0,435150.37,legacy,020180002_2008.pdf,
2008,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1740601475,1385180,0.077,1340263.14,1.0,1340263.14,legacy,020180004_2008.pdf,
2008,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1740601475,19270178,1.107,19268458.33,1.0,19268458.33,legacy,030920000_2008.pdf,
2008,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1740601475,7936450,0.456,7937142.73,1.0,7937142.73,legacy,030920001_2008.pdf,
2008,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1740601475,49860645,2.809,48893495.43,1.0,48893495.43,legacy,040580000_2008.pdf,
2008,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2337528355,63514824,2.617,61173117.05,0.744633,45551540.60,legacy,042020000_2008.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2008,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1740601475,7170860,0.412,7171278.08,1.0,7171278.08,legacy,050760000_2008.pdf,
2009,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1844102316,2194411,0.115,2120717.66,1.0,2120717.66,legacy,020180000_2009.pdf,
2009,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1844102316,457169,0.024,442584.56,1.0,442584.56,legacy,020180002_2009.pdf,
2009,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1844102316,1408080,0.074,1364635.71,1.0,1364635.71,legacy,020180004_2009.pdf,
2009,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1844102316,20703295,1.123,20709269.01,1.0,20709269.01,legacy,030920000_2009.pdf,
2009,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1844102316,8174143,0.444,8187814.28,1.0,8187814.28,legacy,030920001_2009.pdf,
2009,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1844102316,50160534,2.655,48960916.49,1.0,48960916.49,legacy,040580000_2009.pdf,
2009,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2485435195,64529473,2.469,61365394.96,0.741964,45530886.18,legacy,042020000_2009.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2009,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1844102316,7814610,0.424,7818993.82,1.0,7818993.82,legacy,050760000_2009.pdf,
2010,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1850649808,2249471,0.119,2202273.27,1.0,2202273.27,legacy,020180000_2010.pdf,
2010,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1850649808,455863,0.024,444155.95,1.0,444155.95,legacy,020180002_2010.pdf,
2010,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1850649808,1449680,0.077,1425000.35,1.0,1425000.35,legacy,020180004_2010.pdf,
2010,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1850649808,22004258,1.189,22004226.22,1.0,22004226.22,legacy,030920000_2010.pdf,
2010,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1850649808,8343254,0.451,8346430.63,1.0,8346430.63,legacy,030920001_2010.pdf,
2010,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1850649808,57390453,3.032,56111702.18,1.0,56111702.18,legacy,040580000_2010.pdf,
