category,dataset_title,dataset_type,best_download_format,direct_link
Infrastructure & Utilities,Water and Sewer System Data,Web Map / Document,Portal,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/datasets/73850c036f97498782a59d330e834561
Infrastructure & Utilities,Capital Improvement Projects,Feature Service,API,https://experience.arcgis.com/experience/56c706bcad1141e6875c38ec5e690a94
Infrastructure & Utilities,Streets Centerlines,Feature Service,API,https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Streets_Centerlines/FeatureServer
Infrastructure & Utilities,Street Centerlines,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/095a733fbde4479980ee9a026728bc0b/csv?layers=0
Infrastructure & Utilities,Street Polygons,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/095a733fbde4479980ee9a026728bc0b/csv?layers=1
Infrastructure & Utilities,Streets Centerlines,Web Map / Document,Portal,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/datasets/fb9d0b457b1d445e9a8b2a6cda3f4800
Infrastructure & Utilities,Water Service Inventory Dashboard,Feature Service,API,https://www.arcgis.com/apps/dashboards/97cfcb6247a24abc9baf9f227fb21f55
Zoning & Land Use,Municipal POLY PairwiseBuffe,Feature Service,API,https://tiles.arcgis.com/tiles/aymthbPDQOcCnuwg/arcgis/rest/services/VOP_Imagery_2024SID/MapServer/0
Zoning & Land Use,Zoning Districts,Feature Service,API,https://experience.arcgis.com/experience/7669c037b54b41b4938ce0da4e582495
Zoning & Land Use,Building Poly,Web Map / Document,Portal,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/datasets/ec018598714f497581ed750267d4797b
Zoning & Land Use,Jurisdictional Boundaries,Feature Service,API,https://gisc.maps.arcgis.com/apps/webappviewer/index.html?id=26ac0a2e515746048d38077de039ae12
Zoning & Land Use,Download Zoning Map,Feature Service,API,https://oakparkil.maps.arcgis.com/sharing/rest/content/items/048ab19b32b94fbfabe90ce04f54adde/data
Zoning & Land Use,Oak Park Zoning Print (2024),Web Map / Document,Portal,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/documents/048ab19b32b94fbfabe90ce04f54adde
Zoning & Land Use,Municipal Boundary,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/6c1807a7ef5d4d77a9fbb1801d9d36d1/csv?layers=0
Zoning & Land Use,Historic Building Dataset,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/5a02234ddbed497a809810430a61853a/csv?layers=0
Historic & Cultural,Download Historic Landmarks,Feature Service,API,https://oakparkil.maps.arcgis.com/sharing/rest/content/items/8f80223efe0d477388fbf4204ddf1000/data
Historic & Cultural,Historic Building Dataset,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/5a02234ddbed497a809810430a61853a/csv?layers=0
Historic & Cultural,Historic Districts,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/d3ff666dfb764e8183879667acce810e/csv?layers=13
Historic & Cultural,Historic Survey Areas,Tabular (CSV available),CSV,https://oak-park-open-data-portal-v2-oakparkil.hub.arcgis.com/api/download/v1/items/315557a64ac84d45b71e55d94fd583ac/csv?layers=155
Environment & Trees,Social Vulnerability,Feature Service,API,https://oakparkil.maps.arcgis.com/apps/instant/sidebar/index.html?appid=cbbe22efa92148649505d0aa2aa455ce
