facility_type,facility_id,name,address,location_description,latitude,longitude,ownership,ownership_description,maintained,permit_types,is_permit_parking,payment_device,payment_type,classification,days_of_enforcement,enforcement_times,duration_restriction,classification2,days_of_enforcement2,enforcement_times2,max_parking_spaces,has_accessible_spaces,accessible_space_count,is_commuter_parking,is_ev_charging,seasonal_restriction,on_overnight_ban_map,overnight_ban_area_type,guideline_url,weblink,description,source_layer,source_object_id
garage,2,Avenue Parking Garage,720 North Blvd,720 North Blvd - North Boulevard east of Oak Park Avenue,41.8877745,-87.7936848,Village of Oak Park,Avenue Parking Garage,,Day; Night; 24-hour; Monthly,1,PAYSTATION,CASHCREDIT,,,,,,,,,,,,,,Y,GARAGE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_2_avenue_parking_garage.pdf,,,42,3499
garage,18,Holley Court Garage,1125 Ontario St,1125 Ontario St -  Ontario St east of Harlem Ave,41.8896067,-87.8042508,Village of Oak Park,Holley Court Garage,Village of Oak Park,Day; Night; 24-hour; Monthly,1,PAYSTATION,CASHCREDIT,PARKING,MON-SAT,Hourly Rates,,,,,,,,,,,Y,GARAGE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_18_holley_court.pdf,,,42,3517
garage,19,OPRF Community Parking Garage,137 N Scoville Ave,137 N Scoville Ave - northwest corner of Lake and Scoville,41.8887569,-87.7887661,Oak Park River Forest High School,OPRF Community Parking Garage,,Night,1,PAYSTATION,CASHCREDIT,,,,,,,,,,,,,,Y,GARAGE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_19_oprf_community_garage_-_copy.pdf,,,42,3495
garage,32,Lake & Forest Public Parking Garage,938 Lake St,938 Lake St - northeast corner of Lake St and Forest Ave,41.8893347,-87.7995624,Village of Oak Park,Lake & Forest Public Parking Garage,Village of Oak Park,Day; Night; 24-hour,1,PAYSTATION,CASHCREDIT,,,,,,,,,,,0,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_32_lake_forest_garage.pdf,,,42,3452
lot,,US Bank,824 North Blvd,824 North Blvd - North Boulevard west of Oak Park Avenue,41.8875502,-87.7954903,Private,US Bank,Private,,,,,,,,,,,,,,,,,,N,,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_96.pdf,,,42,3512
lot,1,Lot 1,833 S Euclid Ave,833 S Euclid Ave - Euclid north of Harrison,41.8728735,-87.7929868,Village of Oak Park,,Village of Oak Park,Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_1.pdf,,,42,3468
lot,3,Lot 3,,,41.8882331,-87.8020412,Village of Oak Park,,Village of Oak Park,,1,PAYSTATIONMOBILE,,PARKING,MON-SAT,8am - 8pm,3HOURS,NOPARKING,DAILY,2:30am - 6am,,,,,,,N,,,,,42,3518
lot,7,Lot 7,1124 Chicago Ave,1124 Chicago Ave - Chicago Avenue east of Harlem,41.8947229,-87.8047513,Village of Oak Park,,Village of Oak Park,Night,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_7.pdf,,,42,3435
lot,10,Lot 10,,,41.8873752,-87.8015446,Village of Oak Park,,Village of Oak Park,,1,PAYSTATIONMOBILE,,PARKING,MON-SAT,8am - 8pm,3HOURS,NOPARKING,DAILY,2:30am - 6am,,,,,,,N,,,,,42,3516
lot,11,Fifth Third Bank,726 Wesley Ave,726 Wesley Ave - drive-thru at the NW corner of Wesley Ave and Harrison St,41.8730115,-87.7925199,Private,Fifth Third Bank,,Day; Night,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_11.pdf,,,42,3485
lot,15,Lot 15,924 S Oak Park Ave,924 S Oak Park Ave - Oak Park Avenue south of Garfield,41.8712853,-87.7935077,Village of Oak Park,,Village of Oak Park,Pay-by-space; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_15.pdf,,,42,3513
lot,22,Pilgrim Church,450 Lake St,450 Lake St - Lake Street west of Elmwood,41.8886917,-87.7867958,Private,Pilgrim Church,Private,Night,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_22.pdf,,,42,3445
lot,24,Lot 24,438 S Taylor,"438 S Taylor - Taylor north of Madison,",41.8804025,-87.7776987,Village of Oak Park,,Village of Oak Park,24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_24.pdf,,,42,3502
lot,29,Lot 29,715 Garfield St,715 Garfield St - Garfield east of Euclid,41.8720091,-87.7931739,Village of Oak Park,,Village of Oak Park,Night; 24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_29.pdf,,,42,3500
lot,30,Lot 30,226 S Austin Blvd,226 S Austin Blvd - Austin north of Jackson,41.8767463,-87.7751164,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_30.pdf,,,42,3498
lot,31,Lot 31,200 Austin Blvd,200  Austin Blvd - Austin north of Randolph,41.8842554,-87.7753476,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,0,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_31.pdf,,,42,3493
lot,33,Lot 33,913 S Humphrey Ave,913 S Humphrey Ave - Humphrey south of Harrison,41.8720297,-87.7756121,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_33.pdf,,,42,3454
lot,34,Lot 34,300 South Blvd,300 South Blvd - South Boulevard east of Ridgeland,41.8871337,-87.7838185,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_34.pdf,,,42,3501
lot,35,Lot 35,2 South Blvd,2 South Blvd - South Boulevard west of Austin,41.8869761,-87.7753202,Village of Oak Park,,Village of Oak Park,24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_35.pdf,,,42,3484
lot,36,Lot 36,14 Washington Blvd,"Washington west of Austin, 14 Washington Blvd",41.8823063,-87.7753201,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_36.pdf,,,42,3480
lot,37,Lot 37,1190 S. Grove Ave,"Grove north of Roosevelt Road, 1190 S. Grove Ave",41.8657047,-87.7956926,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_37.pdf,,,42,3443
