year,rcdts,level,district_name,school_name,type,district_type,school_type,enrollment,pct_low_income,pct_el,pct_iep,chronic_absenteeism_pct,pupil_teacher_ratio_elementary,pupil_teacher_ratio_high_school,avg_class_size_all_grades,instructional_expenditure_per_pupil,operating_expenditure_per_pupil,site_based_total_per_pupil_expenditure,ela_proficiency_pct,math_proficiency_pct,science_proficiency_pct,grad_rate_4yr_pct,ninth_grade_on_track_pct,teacher_avg_salary,teacher_retention_rate_pct,summative_designation,source_file
2018,STATE,state,State of Illinois,,,,,2001529,49.4,11.7,14.5,16.8,19,19.3,20,8023.61,13336.64,,36.7,31.5,,85.4,86,65720.52,85.2,,Report-Card-Public-Data-Set.xlsx
2018,050160650040000,district,Evanston CCSD 65,,elementary,ELEMENTARY,,7943,37.8,13.9,13.7,9.9,14.6,,21,8629.41,14265.98,,42.2,44.4,,,,80309.39,89.6,,Report-Card-Public-Data-Set.xlsx
2018,050162020170000,district,Evanston Twp HSD 202,,high,HIGH SCHOOL,,3547,38.5,4.7,13.6,12.9,,15.4,19,11900.11,22273.19,,55.2,50.8,,91.1,92,99441.41,91.5,,Report-Card-Public-Data-Set.xlsx
2018,060160900020000,district,River Forest SD 90,,elementary,ELEMENTARY,,1432,5.9,2,13.1,5.3,15.2,,21,9659.86,15424.84,,70.1,62.6,,,,67866.59,91.4,,Report-Card-Public-Data-Set.xlsx
2018,060160910020000,district,Forest Park SD 91,,elementary,ELEMENTARY,,782,52.7,8.2,20.7,10.5,10.8,,14,14961.32,23742.27,,35.1,17.7,,,,62042.23,87.9,,Report-Card-Public-Data-Set.xlsx
2018,060160960020000,district,Riverside SD 96,,elementary,ELEMENTARY,,1720,15.2,5.8,13.8,6.1,15.7,,21,9083.14,13542.38,,68.4,61.5,,,,69149.35,88.1,,Report-Card-Public-Data-Set.xlsx
2018,060160970020000,district,Oak Park ESD 97,,elementary,ELEMENTARY,,6165,17.5,2.6,13.2,7.8,16.4,,23,8259.5,13978.22,,41.2,39.8,,,,74512.22,85.4,,Report-Card-Public-Data-Set.xlsx
2018,060160970021003,school,Oak Park ESD 97,Gwendolyn Brooks Middle School,elementary,ELEMENTARY,MIDDLE SCHL,966,17.1,1.1,13.5,10.2,,,24,,,,31,25.4,,,,,82.8,Targeted,Report-Card-Public-Data-Set.xlsx
2018,060160970021004,school,Oak Park ESD 97,Percy Julian Middle School,elementary,ELEMENTARY,MIDDLE SCHL,1013,18.3,,13.4,10.1,,,24,,,,41.1,34.9,,,,,86.7,Targeted,Report-Card-Public-Data-Set.xlsx
2018,060160970022001,school,Oak Park ESD 97,William Beye Elem School,elementary,ELEMENTARY,ELEMENTARY,369,23.8,3,13.6,8.4,,,21,,,,47.5,40.5,,,,,80.4,Commendable,Report-Card-Public-Data-Set.xlsx
2018,060160970022003,school,Oak Park ESD 97,William Hatch Elem School,elementary,ELEMENTARY,ELEMENTARY,372,11.8,,10.8,3.7,,,20,,,,50,52.8,,,,,91.5,Commendable,Report-Card-Public-Data-Set.xlsx
2018,060160970022005,school,Oak Park ESD 97,Oliver W Holmes Elem School,elementary,ELEMENTARY,ELEMENTARY,593,19.6,7.4,8.3,9.5,,,22,,,,45.8,49.1,,,,,90.7,Commendable,Report-Card-Public-Data-Set.xlsx
2018,060160970022006,school,Oak Park ESD 97,Irving Elem School,elementary,ELEMENTARY,ELEMENTARY,491,22,2.9,12.6,6.1,,,22,,,,42.3,44.4,,,,,84.1,Commendable,Report-Card-Public-Data-Set.xlsx
