name,type,district,affiliation,grades_served,address,city,zip,latitude,longitude,geocode_method,isbe_rcdts,nces_id,website,source,notes
Abraham Lincoln Elementary School,public elementary,D97,,K-5,1111 S Grove Ave,Oak Park,60304,41.868182,-87.795937,centroid of Village of Oak Park school footprint polygon,0601609702007,172925003060,,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Horace Mann Elementary School,public elementary,D97,,K-5,921 N Kenilworth Ave,Oak Park,60302,41.902557,-87.798777,centroid of Village of Oak Park school footprint polygon,0601609702009,172925003062,http://www.op97.org,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Irving Elementary School,public elementary,D97,,K-5,1125 S Cuyler Ave,Oak Park,60304,41.868207,-87.783396,centroid of Village of Oak Park school footprint polygon,0601609702006,172925003063,,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Longfellow Elementary School,public elementary,D97,,P-5,715 Highland Ave,Oak Park,60304,41.875785,-87.782824,centroid of Village of Oak Park school footprint polygon,0601609702008,172925003064,,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Oliver Wendell Holmes Elementary School,public elementary,D97,,K-5,508 N Kenilworth Ave,Oak Park,60302,41.894925,-87.797931,centroid of Village of Oak Park school footprint polygon,0601609702005,172925003065,,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Whittier Elementary School,public elementary,D97,,P-5,715 N Harvey Ave,Oak Park,60302,41.898951,-87.782534,centroid of Village of Oak Park school footprint polygon,0601609702010,172925003067,http://op97.org,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
William Beye Elementary School,public elementary,D97,,K-5,230 N Cuyler Ave,Oak Park,60302,41.891134,-87.782371,centroid of Village of Oak Park school footprint polygon,0601609702001,172925003068,http://www.op97.org,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
William Hatch Elementary School,public elementary,D97,,K-5,1000 N Ridgeland Ave,Oak Park,60302,41.9048,-87.783175,centroid of Village of Oak Park school footprint polygon,0601609702003,172925003069,,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Gwendolyn Brooks Middle School,public middle,D97,,6-8,325 S Kenilworth Ave,Oak Park,60302,41.882341,-87.797697,centroid of Village of Oak Park school footprint polygon,0601609701003,172925004581,http://www.op97.org,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
Percy Julian Middle School,public middle,D97,,6-8,416 S Ridgeland Ave,Oak Park,60302,41.880986,-87.783343,centroid of Village of Oak Park school footprint polygon,0601609701004,172925004582,http://www.op97.org,ISBE directory https://www.isbe.net/Documents/2025-26-Directory-Ed-Entities.xlsx; Village of Oak Park GIS https://services5.arcgis.com/aymthbPDQOcCnuwg/arcgis/rest/services/Elementary_and_Middle_Schools/FeatureServer/0,
