stop_type,agency,stop_id,stop_code,stop_name,stop_desc,latitude,longitude,in_oak_park,routes,route_names,weekday_trips,weekday_date,wheelchair_boarding,pace_shelter_2015,pace_shelter_type,pace_shelter_corner,cmap_sheltered_2024,cmap_trvi,cmap_trvi_category,cmap_mean_svi_norm,cmap_mean_no_vehicle_norm,cmap_match_m,apc_ons,apc_offs,apc_total,apc_routes,apc_match_m,village_2019_stop,village_2019_routes,source
rail_station,CTA,40010,,Austin (Blue),,41.870851,-87.776812,Y,Blue Line,Blue Line,348,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,40980,,Harlem (Blue - Forest Park Branch),,41.87349,-87.806961,N,Blue Line,Blue Line,348,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,40180,,Oak Park (Blue),,41.872108,-87.791602,Y,Blue Line,Blue Line,348,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,41260,,Austin (Green),,41.887293,-87.774135,N,Green Line,Green Line,256,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,40020,,Harlem/Lake,,41.886848,-87.803176,Y,Green Line,Green Line,256,2026-09-09,1,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,41350,,Oak Park (Green),,41.886988,-87.793783,Y,Green Line,Green Line,256,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,CTA,40610,,Ridgeland,,41.887159,-87.783661,Y,Green Line,Green Line,256,2026-09-09,2,,,,,,,,,,,,,,,,,CTA GTFS
rail_station,Metra,VOP-847,,Oak Park Metra Station,1115 North Blvd,41.8871503,-87.8022307,Y,UP-W,Union Pacific West Line,,,,,,,,,,,,,,,,,,,,Village GIS layer 1 (Metra Train Station)
bus_stop,CTA,1,1,Jackson & Austin Terminal,"Jackson & Austin Terminal, Northeastbound, Bus Terminal",41.8763297,-87.7741106,N,126,Jackson,142,2026-09-09,1,,,,Unsheltered,1.778,Medium (1.6-2.0),0.3371,0.0335,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,14800,14800,Madison & Austin,"Madison & Austin, Westbound, Northeast Corner",41.8802059,-87.7744941,N,20,Madison,149,2026-09-09,1,,,,Unsheltered,2.333,High (2.1-2.5),0.4467,0.1394,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,386,386,Madison & Austin Terminal,"Madison & Austin Terminal, Southbound, Bus Terminal",41.8803208,-87.7740488,N,20,Madison,323,2026-09-09,1,,,,Unsheltered,2.333,High (2.1-2.5),0.4467,0.1394,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,510,510,Chicago & Austin Terminal,"Chicago & Austin Terminal, Southbound, Bus Terminal",41.8949334,-87.774849,N,66,Chicago,436,2026-09-09,1,,,,Sheltered,2.333,High (2.1-2.5),0.4387,0.138,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,1970,1970,Division & Austin Terminal,"Division & Austin Terminal, Southeastbound, Bus Terminal",41.9018059,-87.7750149,N,70,Division,213,2026-09-09,1,,,,Sheltered,2.222,High (2.1-2.5),0.394,0.0554,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11723,11723,Lake Street & Cuyler (Green Line),"Lake Street & Cuyler (Green Line), Eastbound, Southside of the Street",41.8881188,-87.7829857,Y,86,Narragansett/Ridgeland,100,2026-09-09,1,,,,Sheltered,1.778,Medium (1.6-2.0),0.2604,0.0668,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11724,11724,Lake Street & Lombard,"Lake Street & Lombard, Eastbound, Southwest Corner",41.8880352,-87.7798784,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Sheltered,1.889,Medium (1.6-2.0),0.3274,0.1018,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11722,11722,Lake Street & Ridgeland,"Lake Street & Ridgeland, Eastbound, Southeast Corner",41.8881658,-87.7844814,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.889,Medium (1.6-2.0),0.2604,0.0668,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11716,11716,Ridgeland & Augusta,"Ridgeland & Augusta, Southbound, Northwest Corner",41.8983109,-87.7850325,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.556,Medium (1.6-2.0),0.1709,0.0372,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11732,11732,Ridgeland & Augusta,"Ridgeland & Augusta, Northbound, Southeast Corner",41.8981059,-87.7848068,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.1847,0.0397,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11713,11713,Ridgeland & Berkshire,"Ridgeland & Berkshire, Southbound, Northwest Corner",41.9038849,-87.7842329,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.1155,0.0202,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11735,11735,Ridgeland & Berkshire,"Ridgeland & Berkshire, Northbound, Southeast Corner",41.9037656,-87.784062,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.1155,0.0202,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11718,11718,Ridgeland & Chicago,"Ridgeland & Chicago, Southbound, Northwest Corner",41.8946955,-87.7849986,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Sheltered,1.556,Medium (1.6-2.0),0.1847,0.0397,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11730,11730,Ridgeland & Chicago,"Ridgeland & Chicago, Northbound, Southeast Corner",41.8944481,-87.7847795,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.1847,0.0397,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11714,11714,Ridgeland & Division,"Ridgeland & Division, Southbound, Northwest Corner",41.9019422,-87.7848759,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.333,Low (1.0-1.5),0.1155,0.0202,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11734,11734,Ridgeland & Division,"Ridgeland & Division, Northbound, Southeast Corner",41.9017712,-87.7846726,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.333,Low (1.0-1.5),0.1155,0.0202,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11720,11720,Ridgeland & Erie,"Ridgeland & Erie, Southbound, Northwest Corner",41.8917978,-87.7848812,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.2144,0.0471,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11728,11728,Ridgeland & Erie,"Ridgeland & Erie, Northbound, Southeast Corner",41.8917059,-87.7847078,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.444,Low (1.0-1.5),0.2144,0.0471,1.0,,,,,,,,CTA GTFS
bus_stop,CTA,11717,11717,Ridgeland & Iowa,"Ridgeland & Iowa, Southbound, Northwest Corner",41.896494,-87.7850564,Y,86,Narragansett/Ridgeland,50,2026-09-09,1,,,,Unsheltered,1.556,Medium (1.6-2.0),0.1847,0.0397,1.0,,,,,,,,CTA GTFS
