object_id,common_name,latin_name,genus,genus_source,dbh_in,height_ft,spread_ft,latitude,longitude,nearest_street,block,block_distance_ft,global_id
379,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,31,40,50,41.9025803,-87.7754783,N AUSTIN BLVD,1200 N AUSTIN BLVD,24.5,0ae3315d-1e29-4eab-ac4c-d631e9969ad3
380,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,5,20,10,41.9027065,-87.7754811,N AUSTIN BLVD,1200 N AUSTIN BLVD,24.4,2aeb10e7-4a13-480e-9853-0b8eac8f04c8
383,LINDEN-AMERICAN,Tilia americana,Tilia,latin,28,40,30,41.9033746,-87.775488,N AUSTIN BLVD,1200 N AUSTIN BLVD,21.3,de31a79b-be0b-423c-846c-2a0b0979d4b8
384,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,21,30,30,41.9040617,-87.7755305,N AUSTIN BLVD,1300 N AUSTIN BLVD,26.4,c3075291-f715-462f-b098-b1bfeadf03c8
385,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,21,30,30,41.9041385,-87.7755327,N AUSTIN BLVD,1300 N AUSTIN BLVD,26.2,ad92c0b7-47c6-4fef-9fd6-79c852763705
386,BLACK LOCUST,Robinia pseudoacacia,Robinia,latin,9,30,10,41.9043604,-87.7755306,N AUSTIN BLVD,1300 N AUSTIN BLVD,23.8,1732f378-ef23-41dd-9cbe-5f19faabb880
387,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,9,20,20,41.904516,-87.7755411,N AUSTIN BLVD,1300 N AUSTIN BLVD,25.3,987dedfa-2e9a-4c41-949a-889734115b9a
388,HACKBERRY,Celtis occidentalis,Celtis,latin,23,30,40,41.9046211,-87.7755485,N AUSTIN BLVD,1300 N AUSTIN BLVD,26.4,4c2aa92a-1241-4b2c-9c56-d836d489d2d0
389,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,26,40,40,41.9047096,-87.7755516,N AUSTIN BLVD,1300 N AUSTIN BLVD,26.4,077417a2-d3f3-4a2d-9651-6f54594ba949
390,HONEYLOCUST,Gleditsia triacanthos,Gleditsia,latin,29,40,40,41.9050939,-87.775561,N AUSTIN BLVD,1300 N AUSTIN BLVD,25.7,63b0414e-3675-4c99-b077-b59b4e60bea2
